id,specie_id,nome,generazione,descrizione,tipo1,tipo2,abilita_base,abilita_nascosta,altezza,peso,categoria,gruppo_uova1,gruppo_uova2,hpstat,atkstat,defstat,spatkstat,spdefstat,spdstat,immagine,debolezza1,debolezza2,debolezza3,debolezza4,debolezza5,debolezza6,debolezza7
1,1,Bulbasaur,I,"Un seme strano è stato piantato sulla sua schiena alla nascita. La pianta germoglia e cresce con questo Pokémon.",Erba,Veleno,Erbaiuto,Clorofilla,0.7,6.9,Seme,Mostro,Erba,45,49,49,65,65,45,images/pokemon_1.png,Fuoco,Ghiaccio,Volante,Psico,,,,
2,2,Ivysaur,I,"Quando la pianta sul suo dorso si gonfia, diventa più forte perché assume più sostanze nutritive.",Erba,Veleno,Erbaiuto,Clorofilla,1,13,Seme,Mostro,Erba,60,62,63,80,80,60,images/pokemon_2.png,Fuoco,Ghiaccio,Volante,Psico,,,,
3,3,Venusaur,I,"Il fiore sulla schiena di questo Pokémon sboccia quando riceve energia solare.",Erba,Veleno,Erbaiuto,Clorofilla,2,100,Seme,Mostro,Erba,80,82,83,100,100,80,images/pokemon_3.png,Fuoco,Ghiaccio,Volante,Psico,,,,
4,4,Charmander,I,"Le fiamme che bruciano alla fine della sua coda indicano la sua forza vitale. Se la coda si spegne, il Pokémon morirà.",Fuoco,,Aiutofuoco,Solarpotere,0.6,8.5,Lucertola,Mostro,Drago,39,52,43,60,50,65,images/pokemon_4.png,Terra,Roccia,Acqua,,,,,
5,5,Charmeleon,I,"Quando diventa arrabbiato, le fiamme sulla sua coda bruciano più intensamente. Non riesce a contenere la sua rabbia.",Fuoco,,Aiutofuoco,Solarpotere,1.1,19.0,Lucertola,Mostro,Drago,58,64,58,80,65,80,images/pokemon_5.png,Terra,Roccia,Acqua,,,,,
6,6,Charizard,I,"Quando vola alto nel cielo, è indistinguibile da una stella cadente. Le fiamme sulla sua coda brillano di intensità.",Fuoco,Volante,Aiutofuoco,Solarpotere,1.7,90.5,Fiamma,Mostro,Drago,78,84,78,109,85,100,images/pokemon_6.png,Roccia,Acqua,Elettro,,,,,
7,7,Squirtle,I,"Quando si ritira nel suo guscio, si contrae leggermente per difendersi dagli attacchi.",Acqua,,Acquaiuto,Copripioggia,0.5,9.0,Tartaruga,Mostro,Acqua 1,44,48,65,50,64,43,images/pokemon_7.png,Elettro,Erba,,,,,,
8,8,Wartortle,I,"La coda di Wartortle è ricoperta di un denso strato di pelliccia. Rimuoverlo provoca irritazione al Pokémon.",Acqua,,Acquaiuto,Copripioggia,1.0,22.5,Tartaruga,Mostro,Acqua 1,59,63,80,65,80,58,images/pokemon_8.png,Elettro,Erba,,,,,,
9,9,Blastoise,I,"Le sue forti spalle lo aiutano a sparare proiettili d'acqua con una forza tale da distruggere un edificio.",Acqua,,Acquaiuto,Copripioggia,1.6,85.5,Marino,Mostro,Acqua 1,79,83,100,85,105,78,images/pokemon_9.png,Elettro,Erba,,,,,,
10,10,Caterpie,I,"Per proteggersi, emette un fetore orribile da ghiandole sotto il suo corpo, aprendo enormi occhi sul dorso.",Coleottero,,Polvoscudo,Fugafacile,0.3,2.9,Baco,Coleottero,,45,30,35,20,20,45,images/pokemon_10.png,Fuoco,Volante,Roccia,,,,,
11,11,Metapod,I,"Ha un corpo rigido. Come si evolve, diventa più forte, ma anche più rigido e inabile a muoversi.",Coleottero,,Muta,Nessuna,0.7,9.9,Bozzolo,Coleottero,,50,20,55,25,25,30,images/pokemon_11.png,Fuoco,Volante,Roccia,,,,,
12,12,Butterfree,I,"L'estrusione di polvere di questo Pokémon è tossica. Gli insetti avvelenati perdono le loro forze dopo pochi minuti.",Coleottero,Volante,Insettocchi,Lentifumé,1.1,32.0,Farfalla,Coleottero,,60,45,50,90,80,70,images/pokemon_12.png,Fuoco,Elettro,Roccia,Volante,Ghiaccio,,,
13,13,Weedle,I,"Con il suo pungiglione velenoso sulla testa, Weedle tenta di proteggersi dagli attacchi riparandosi nel fogliame.",Coleottero,Veleno,Polvoscudo,Fugafacile,0.3,3.2,Insetto,Coleottero,,40,35,30,20,20,50,images/pokemon_13.png,Fuoco,Volante,Psico,Roccia,,,,
14,14,Kakuna,I,"Ha uno strato duro e molto resistente che è stato sviluppato per proteggerlo. Tuttavia, impedisce anche di muoversi.",Coleottero,Veleno,Muta,Nessuna,0.6,10.0,Insetto,Coleottero,,45,25,50,25,25,35,images/pokemon_14.png,Fuoco,Volante,Psico,Roccia,,,,
15,15,Beedrill,I,"Ha una spina velenosa sulla coda e una più lunga sul suo braccio. La spina sulla coda vengono estratte per avvelenare il nemico.",Coleottero,Veleno,Aiutinsetto,Cecchino,1.0,29.5,Velenape,Coleottero,,65,80,40,45,80,75,images/pokemon_15.png,Fuoco,Volante,Psico,Roccia,,,,
16,16,Pidgey,I,"Quando si spaventa, solleva piccole polveri delle ali per confondere il nemico. È un Pokémon molto timido.",Normale,Volante,Sguardofermo,Pettinfuori,0.3,1.8,Uccellino,Volante,,40,45,40,35,35,56,images/pokemon_16.png,Elettro,Ghiaccio,Roccia,,,,,
17,17,Pidgeotto,I,"I suoi sensi sono affinati da volare molto velocemente attraverso la foresta. Ancora meglio inseguito da un nemico.",Normale,Volante,Sguardofermo,Pettinfuori,1.1,30.0,Uccellino,Volante,,63,60,55,50,50,71,images/pokemon_17.png,Elettro,Ghiaccio,Roccia,,,,,
18,18,Pidgeot,I,"Molto abile nel volo veloce. A volte trasporta piccoli Pokémon su di esso e li trasporta in aria.",Normale,Volante,Sguardofermo,Pettinfuori,1.5,39.5,Uccellone,Volante,,83,80,75,70,70,101,images/pokemon_18.png,Elettro,Ghiaccio,Roccia,,,,,
19,19,Rattata,I,"Con i suoi incisivi rode qualsiasi cosa. Se se ne avvista uno, è probabile che in zona vivano almeno 40 esemplari.",Normale,,Tuttafretta,Acciaio,0.3,3.5,Ratto,Campo,,30,56,35,25,35,72,images/pokemon_19.png,Lotta,,,,,,,
20,20,Raticate,I,"Le sue lunghe mustache gli conferiscono un senso dell'olfatto molto acuto. È molto particolare sulla scelta del cibo.",Normale,,Fugafacile,Acciaio,0.7,18.5,Topo,Campo,,55,81,60,50,70,97,images/pokemon_20.png,Lotta,,,,,,,
21,21,Spearow,I,"Di natura diffidente, quando si sente minacciato emette un suono acuto per tenere lontani i nemici.",Normale,Volante,Sguardofermo,Cecchino,0.3,2.0,Piccolo Uccello,Volante,,40,60,30,31,31,70,images/pokemon_21.png,Elettro,Ghiaccio,Roccia,,,,,
22,22,Fearow,I,"Preferisce fare la sua casa in luoghi aperti perché non vuole essere limitato. Volerà fino all'alba se è libero.",Normale,Volante,Sguardofermo,Cecchino,1.2,38.0,Uccellone,Volante,,65,90,65,61,61,100,images/pokemon_22.png,Elettro,Ghiaccio,Roccia,,,,,
23,23,Ekans,I,"La sua forma a spirale lo rende molto agile. Anche se lo colpisci, si contorcerà per sfuggire al tuo attacco.",Veleno,,Prepotenza,Agitazione,2.0,6.9,Snake,Campo,Drago,35,60,44,40,54,55,images/pokemon_23.png,Psico,Terra,,,,,,
24,24,Arbok,I,"Il motivo sulla pancia sembra una faccia spaventosa. Al solo vederlo, i nemici più pavidi si danno alla fuga.",Veleno,,Prepotenza,Agitazione,3.5,65.0,Snake,Campo,Drago,60,85,69,65,79,80,images/pokemon_24.png,Psico,Terra,,,,,,
25,25,Pikachu,I,"Quando diversi Pikachu si riuniscono, possono generare sufficiente elettricità per causare una tempesta.",Elettro,,Statico,Parafulmine,0.4,6.0,Topo,Campo,Magico,35,55,40,50,50,90,images/pokemon_25.png,Terra,,,,,,,
26,26,Raichu,I,"Ha una speciale tasca elettrica sul petto che produce elettricità. Se diventa completamente carico, il suo volto inizierà a brillare.",Elettro,,Statico,Parafulmine,0.8,30.0,Topo,Campo,Magico,60,90,55,90,80,110,images/pokemon_26.png,Terra,,,,,,,
27,27,Sandshrew,I,"Le sue pinne laterali gli permettono di muoversi rapidamente nella sabbia. Sono anche utilizzati per la difesa.",Terra,,Sabbiavelo,Remasabbia,0.6,12.0,Topo,Campo,,50,75,85,20,30,40,images/pokemon_27.png,Acqua,Erba,Ghiaccio,,,,,
28,28,Sandslash,I,"Ha un gran numero di spine sulla schiena. Gli estrae per lanciarli a nemici che si avvicinano.",Terra,,Sabbiavelo,Remasabbia,1.0,29.5,Topo,Campo,,75,100,110,45,55,65,images/pokemon_28.png,Acqua,Erba,Ghiaccio,,,,,
29,29,Nidoran-F,I,"Anche se sono piccoli, i suoi artigli velenosi sono molto potenti. È noto per essere uno dei Pokémon più velenosi.",Veleno,,Velenopunto,Tuttafretta,0.4,7.0,Piccolo Veleno,Campo,Mostro,55,47,52,40,40,41,images/pokemon_29.png,Terra,Psico,,,,,,
30,30,Nidorina,I,"Si esercita per potenziare i suoi muscoli. È abbastanza potente da sollevare un elefante.",Veleno,,Velenopunto,Tuttafretta,0.8,20.0,Velenosetta,Sconosciuto,,70,62,67,55,55,56,images/pokemon_30.png,Terra,Psico,,,,,,
31,31,Nidoqueen,I,"Non teme di affrontare anche il Pokémon più potente. Si sente molto più sicuro quando ha un guscio di roccia.",Veleno,Terra,Velenopunto,Forzabruta,1.3,60.0,Boa,Sconosciuto,,90,92,87,75,85,76,images/pokemon_31.png,Acqua,Ghiaccio,Terra,Psico,,,,
32,32,Nidoran-M,I,"Avverte un senso di pericolo quando sente un odore sgradevole intorno a lui. La sua coda emette un odore strano per tenere lontani i nemici.",Veleno,,Velenopunto,Tuttafretta,0.5,9.0,Piccolo Veleno,Campo,Mostro,46,57,40,40,40,50,images/pokemon_32.png,Terra,Psico,,,,,,
33,33,Nidorino,I,"Difende il suo territorio dagli invasori con una forza sorprendente. Il suo corno è affilato come una lama.",Veleno,,Velenopunto,Tuttafretta,0.9,19.5,Velenosetta,Campo,Mostro,61,72,57,55,55,65,images/pokemon_33.png,Terra,Psico,,,,,,
34,34,Nidoking,I,"Lancia un veleno incredibilmente potente da quelle piccole aperture sui suoi arti. Gli permette di difendersi molto bene.",Veleno,Terra,Velentopunto,Forzabruta,1.4,62.0,Boa,Campo,Mostro,81,102,77,85,75,85,images/pokemon_34.png,Acqua,Ghiaccio,Terra,Psico,,,,
35,35,Clefairy,I,"È noto che venga attratto dalla luna splendente. Si può vedere ballare e saltare sulla luna piena tutto il giorno.",Folletto,,,Muta,0.6,7.5,Folletto,Folletto,,70,45,48,60,65,35,images/pokemon_35.png,Veleno,Acciaio,,,,,,
36,36,Clefable,I,"La sua pelliccia soffice e delicata si gonfia quando sente felicità. Il fiocco sull'orecchio può percepire i sentimenti del suo allenatore.",Folletto,,,Muta,1.3,40.0,Folletto,Folletto,,95,70,73,95,90,60,images/pokemon_36.png,Veleno,Acciaio,,,,,,
37,37,Vulpix,I,"A seconda delle circostanze, è noto per trasformarsi in varie forme. Molto diffuso nei luoghi montani.",Fuoco,,Fuocardore,Siccità,0.6,9.9,Volpe,Campo,,38,41,40,50,65,65,images/pokemon_37.png,Acqua,Terra,Roccia,,,,,
38,38,Ninetales,I,"Le nove code di Ninetales sono riempite di energia spirituale che permettono a chi le tocca di vedere il futuro.",Fuoco,,Fuocardore,Siccità,1.1,19.9,Volpe,Campo,,73,76,75,81,100,100,images/pokemon_38.png,Acqua,Terra,Roccia,,,,,
39,39,Jigglypuff,I,"Quando canta, si avvolge con l'atmosfera di sonno che emette per addormentare il nemico.",Normale,Folletto,,Amicoscudo,0.5,5.5,Palla,Magico,,115,45,20,45,25,20,images/pokemon_39.png,Veleno,Acciaio,,,,,,
40,40,Wigglytuff,I,"Ha una voce dolce, ma molto potente. Riesce a calmare anche i Pokémon più aggressivi.",Normale,Folletto,,Indagine,1.0,12.0,Palla,Magico,,140,70,45,85,50,45,images/pokemon_40.png,Veleno,Acciaio,,,,,,
41,41,Zubat,I,"Assolutamente notturno, esce fuori al crepuscolo per cibarsi di sanguisughe che vivono nei cespugli.",Veleno,Volante,Fuocodentro,Intrapasso,0.8,7.5,Pipistrello,Volante,,40,45,35,30,40,55,images/pokemon_41.png,Elettro,Ghiaccio,Psico,Roccia,,,,
42,42,Golbat,I,"Volando molto rapidamente, evita gli ostacoli senza difficoltà. Si alimenta di sangue di altri Pokémon.",Veleno,Volante,Fuocodentro,Intrapasso,1.6,55.0,Pipistrello,Volante,,75,80,70,65,75,90,images/pokemon_42.png,Elettro,Ghiaccio,Psico,Roccia,,,,
43,43,Oddish,I,"Se respiri un dolce profumo intorno, Oddish si stà probabilmente avvicinando. Possono essere trovati in luoghi ricchi di umidità.",Erba,Veleno,Clorofilla,Fugafacile,0.5,5.4,Erba,Erba,,45,50,55,75,65,30,images/pokemon_43.png,Fuoco,Ghiaccio,Volante,Psico,,,,
44,44,Gloom,I,"Esce di notte per annusare il terreno umido. L'odore pungente che si diffonde dal suo corpo fa fuggire le persone.",Erba,Veleno,Clorofilla,Fugafacile,0.8,8.6,Erba,Erba,,60,65,70,85,75,40,images/pokemon_44.png,Fuoco,Ghiaccio,Volante,Psico,,,,
45,45,Vileplume,I,"Molto diffuso nei luoghi con aria pulita. Il fiore sul suo corpo rilascia un aroma che rende le persone di buon umore.",Erba,Veleno,Clorofilla,Spargispora,1.2,18.6,Fiori,Erba,,75,80,85,110,90,50,images/pokemon_45.png,Fuoco,Ghiaccio,Volante,Psico,,,,
46,46,Paras,I,"Attacca con artigli affilati sulle sue zampe anteriori. Può iniettare veleno attraverso i suoi artigli.",Coleottero,Erba,Spargispora,Umidità,0.3,5.4,Fungo,Coleottero,Erba,35,70,55,45,55,25,images/pokemon_46.png,Fuoco,Ghiaccio,Veleno,Volante,Coleottero,Roccia,,
47,47,Parasect,I,"Sotto il fungo sul suo dorso, il suo corpo è morbido e bianco. Se il fungo cresce troppo, può indebolirsi.",Coleottero,Erba,Spargispora,Umidità,1.0,29.5,Fungo,Coleottero,Erba,60,95,80,60,80,30,images/pokemon_47.png,Fuoco,Ghiaccio,Veleno,Volante,Coleottero,Roccia,,
48,48,Venonat,I,"Vive in foreste buie e umide. Ha un veleno molto potente in piccole quantità.",Coleottero,Veleno,Insettocchi,Fugafacile,1.0,30.0,Insetto,Coleottero,,60,55,50,40,55,45,images/pokemon_48.png,Fuoco,Volante,Psico,Roccia,,,,
49,49,Venomoth,I,"Quando emette polvere velenosa dai suoi occhi, il nemico perde la vista per un breve momento.",Coleottero,Veleno,Polvoscudo,Splendicute,1.5,12.5,Farfalla,Coleottero,,70,65,60,90,75,90,images/pokemon_49.png,Fuoco,Volante,Psico,Roccia,,,,
50,50,Diglett,I,"Vive quasi interamente sottoterra. Solleva solo il naso per respirare e sentirsi in giro.",Terra,,Sabbiavelo,Silicoforza,0.2,0.8,Talpa,Campo,,10,55,25,35,45,95,images/pokemon_50.png,Acqua,Erba,Ghiaccio,,,,,
51,51,Dugtrio,I,"Può saltare molto velocemente. I suoi tre capelli possono vibrare in un'unica direzione per formulare una trivella.",Terra,,Sabbiavelo,Silicoforza,0.7,33.3,Talpa,Campo,,35,80,50,50,70,120,images/pokemon_51.png,Acqua,Erba,Ghiaccio,,,,,
52,52,Meowth,I,"È molto orgoglioso del suo nastro rosso. Il suo atteggiamento coraggioso può diventare piuttosto aggressivo.",Normale,,Raccolta,Agitazione,0.4,4.2,Gatto,Campo,,40,45,35,40,40,90,images/pokemon_52.png,Lotta,,,,,,,
53,53,Persian,I,"Cammina silenziosamente e agisce con estrema grazia. Si dice che il suo movimento è molto simile a quello di una danza.",Normale,,Scioltezza,Agitazione,1.0,32.0,Gatto,Campo,,65,70,60,65,65,115,images/pokemon_53.png,Lotta,,,,,,,
54,54,Psyduck,I,"Ha forti mal di testa che causano perdita di memoria. In tali momenti, diventa molto più forte e pericoloso.",Acqua,,Umidità,Nuotovelox,0.8,19.6,Papero,Campo,Acqua 1,50,52,48,65,50,55,images/pokemon_54.png,Erba,Elettro,,,,,,
55,55,Golduck,I,"La sua forza nel nuoto è davvero incredibile. Può facilmente nuotare nell'oceano, persino nell'oceano in burrasca.",Acqua,,Umidità,Nuotovelox,1.7,76.6,Papero,Campo,Acqua 1,80,82,78,95,80,85,images/pokemon_55.png,Erba,Elettro,,,,,,
56,56,Mankey,I,"Un Pokémon molto violento e irascibile. Quando si arrabbia, non può essere calmato.",Lotta,,Spiritovivo,Agonismo,0.5,28.0,Scimmia,Campo,,40,80,35,35,45,70,images/pokemon_56.png,Volante,Psico,Folletto,,,,,
57,57,Primeape,I,"Raggiunge la sua forma finale quando il rabbioso Mankey evolve in Primeape. Sia in grado di volare nel furioso caos.",Lotta,,Spiritovivo,Agonismo,1.0,32.0,Scimmione,Campo,,65,105,60,60,70,95,images/pokemon_57.png,Volante,Psico,Folletto,,,,,
58,58,Growlithe,I,"Spirito molto fedele e coraggioso. È amichevole con le persone e si è comportato come un cane da guardia per molto tempo.",Fuoco,,Prepotenza,Giustizia,0.7,19.0,Cucciolo,Campo,,55,70,45,70,50,60,images/pokemon_58.png,Acqua,Terra,Roccia,,,,,
59,59,Arcanine,I,"Le sue alte prestazioni nel lancio della fiamma gli hanno guadagnato la fama di leggendario guerriero.",Fuoco,,Prepotenza,Giustizia,1.9,155.0,Leggendario,Campo,,90,110,80,100,80,95,images/pokemon_59.png,Acqua,Terra,Roccia,,,,,
60,60,Poliwag,I,"La sua pelle è molto liscia. Si trova spesso galleggiante sulla superficie dell'acqua, cercando cibo.",Acqua,,Assorbacqua,Umidità,0.6,12.4,Tadpole,Acqua 1,,40,50,40,40,40,90,images/pokemon_60.png,Erba,Elettro,,,,,,
61,61,Poliwhirl,I,"La sfera sul suo ventre è morbida al tatto. Se la pressioni, puoi sentire il battito del suo cuore.",Acqua,,Assorbacqua,Umidità,1.0,20.0,Tadpole,Acqua 1,,65,65,65,50,50,90,images/pokemon_61.png,Erba,Elettro,,,,,,
62,62,Poliwrath,I,"La sua forza è superiore a quella dei combattenti più forti. Tuttavia, è sempre gentile con le persone deboli.",Acqua,Lotta,Assorbacqua,Umidità,1.3,54.0,Polpo,Acqua 1,,90,85,95,70,90,70,images/pokemon_62.png,Erba,Elettro,Volante,Psico,Folletto,,,
63,63,Abra,I,"Può usare lo stesso tipo di attacco solo una volta. Il suo corpo è completamente indifferente agli effetti della gravità.",Psico,,Sincronismo,Agitazione,0.9,19.5,Psichico,Umanoide,,25,20,15,105,55,90,images/pokemon_63.png,Coleottero,Spettro,Buio,,,,,
64,64,Kadabra,I,"Emette onde alpha che danneggiano il cervello e causano forti mal di testa. Potrebbe anche indurre una crisi epilettica.",Psico,,Sincronismo,Agitazione,1.3,56.5,Psichico,Umanoide,,40,35,30,120,70,105,images/pokemon_64.png,Coleottero,Spettro,Buio,,,,,
65,65,Alakazam,I,"Si dice che possa fare crescere cucchiai. Mangiare cibo con queste posate aumenta i poteri psichici.",Psico,,Sincronismo,Agitazione,1.5,48.0,Psichico,Umanoide,,55,50,45,135,95,120,images/pokemon_65.png,Coleottero,Spettro,Buio,,,,,
66,66,Machop,I,"Gli piace allenarsi intensamente e può sollevare pesi di oltre 1000 libbre al giorno.",Lotta,,Dentristretti,Cuordeciso,0.8,19.5,Schiacciasassi,Umanoide,,70,80,50,35,35,35,images/pokemon_66.png,Volante,Psico,Folletto,,,,,
67,67,Machoke,I,"I suoi muscoli si gonfiano sempre più quando si allena. Gli piace mostrare la sua forza a tutti.",Lotta,,Dentristretti,Cuordeciso,1.5,70.5,Lottatore,Umanoide,,80,100,70,50,60,45,images/pokemon_67.png,Volante,Psico,Folletto,,,,,
68,68,Machamp,I,"Usa le braccia per sollevare cose pesanti e rocciose, quindi usa il suo corpo per colpire il nemico.",Lotta,,Dentristretti,Cuordeciso,1.6,130.0,Lottatore,Umanoide,,90,130,80,65,85,55,images/pokemon_68.png,Volante,Psico,Folletto,,,,,
69,69,Bellsprout,I,"Afferra e digerisce persino insetti velenosi usando i suoi tre corpi. Il suo corpo è pieno di acido.",Erba,Veleno,Clorofilla,Voracità,0.7,4.0,Fiori,Erba,,50,75,35,70,30,40,images/pokemon_69.png,Fuoco,Ghiaccio,Volante,Psico,,,,
70,70,Weepinbell,I,"Assorbe i nutrienti dal suolo. Le sue radici possono espandersi 1.000 piedi in un giorno.",Erba,Veleno,Clorofilla,Voracità,1.0,6.4,Campana,Erba,,65,90,50,85,45,55,images/pokemon_70.png,Fuoco,Ghiaccio,Volante,Psico,,,,
71,71,Victreebel,I,"Attrae la preda con un dolce profumo del nettare segreto da dentro il suo fiore. Poi attacca con le sue potenti mandibole.",Erba,Veleno,Clorofilla,Voracità,1.7,15.5,Campana,Erba,,80,105,65,100,70,70,images/pokemon_71.png,Fuoco,Ghiaccio,Volante,Psico,,,,
72,72,Tentacool,I,"Rilascia veleno dai suoi filamenti sottili per difendersi dagli attacchi. Si muove nuotando con un moto oscillante.",Acqua,Veleno,Corpochiaro,Copripioggia,0.9,45.5,Tentacolo,Acqua 3,,40,40,35,50,100,70,images/pokemon_72.png,Erba,Elettro,Coleottero,Spettro,Buio,,,Elettro,Terra,Psico,,,,,
73,73,Tentacruel,I,"Nella lotta estende gli ottanta tentacoli per intrappolare il nemico in una rete velenosa.",Acqua,Veleno,Corpochiaro,Copripioggia,1.6,55.0,Tentacolo,Acqua 3,,80,70,65,80,120,100,images/pokemon_73.png,Erba,Elettro,Coleottero,Spettro,Buio,,,Elettro,Terra,Psico,,,,,
