id,specie_id,nome,generazione,descrizione,tipo1,tipo2,abilita_base,abilita_nascosta,altezza,peso,categoria,gruppo_uova1,gruppo_uova2,hpstat,atkstat,defstat,spatkstat,spdefstat,spdstat,immagine,debolezza1,debolezza2,debolezza3,debolezza4,debolezza5,debolezza6,debolezza7
74,74,Geodude,I,"Se il corpo si rompe, la sua pietra si ricostruirà rapidamente. Tuttavia, il cervello è fatto di un materiale che non crescerà di nuovo.",Roccia,Terra,Vigore,Sabbiavelo,0.4,20.0,Roccia,Minerale,,40,80,100,30,30,20,images/pokemon_74.png,Acqua,Erba,Ghiaccio,Lotta,Terra,Acciaio,,
75,75,Graveler,I,"Raccoglie e mangia rocce. Le particelle minerali contenute nelle rocce sono trasformate in energia vitale per il suo corpo.",Roccia,Terra,Vigore,Sabbiavelo,1.0,105.0,Roccia,Minerale,,55,95,115,45,45,35,images/pokemon_75.png,Acqua,Erba,Ghiaccio,Lotta,Terra,Acciaio,,
76,76,Golem,I,"Un Pokèmon molto aggressivo. Usa tutti i suoi muscoli per lanciare pietre pesanti a nemici.",Roccia,Terra,Sconfinatezza,Vigore,1.4,300.0,Roccia,Minerale,,80,120,130,55,65,45,images/pokemon_76.png,Acqua,Erba,Ghiaccio,Lotta,Terra,Acciaio,,
77,77,Ponyta,I,"Sulla sua criniera, porta una fiamma che brucia intensamente. Viene usato come segno di forza nelle gare.",Fuoco,,Fugafacile,Corpodifuoco,1.0,30.0,Cavallo,Campo,,50,85,55,65,65,90,images/pokemon_77.png,Acqua,Terra,Roccia,,,,,
78,78,Rapidash,I,"Sa saltare ostacoli in modo dinamico. La sua scia di fuoco è un bello spettacolo che può essere visto nel buio.",Fuoco,,Fugafacile,Corpodifuoco,1.7,95.0,Cavallo,Campo,,65,100,70,80,80,105,images/pokemon_78.png,Acqua,Terra,Roccia,,,,,
79,79,Slowpoke,I,"È molto lento e pigro. Se vede qualcosa che lo spaventa, si immerge in acqua e inizia a galleggiare lentamente.",Acqua,Psico,Indifferenza,Muta,1.2,36.0,Mollusco,Mostro,Acqua 1,90,65,65,40,40,15,images/pokemon_79.png,Erba,Elettro,Coleottero,Spettro,Buio,,,
80,80,Slowbro,I,"È diventato pigro dopo la fusione con Shellder. Per questo, si accorge di poco del dolore.",Acqua,Psico,Indifferenza,Muta,1.6,78.5,Evoluzione,Mostro,Acqua 1,95,75,110,100,80,30,images/pokemon_80.png,Erba,Elettro,Coleottero,Spettro,Buio,,,
81,81,Magnemite,I,"È stato creato artificialmente. Ha l'abilità di generare elettricità, ma è anche vulnerabile ai guasti.",Elettro,Acciaio,Magnetismo,Ponderazione,0.3,6.0,Magnete,Minerale,,25,35,70,95,55,45,images/pokemon_81.png,Fuoco,Lotta,Terra,,,,,
82,82,Magneton,I,"È formato da tre Magnemite. La forza magnetica tra di loro tiene uniti questi Pokémon.",Elettro,Acciaio,Magnetismo,Ponderazione,1.0,60.0,Magnete,Minerale,,50,60,95,120,70,70,images/pokemon_82.png,Fuoco,Lotta,Terra,,,,,
83,83,Farfetch'd,I,"È stato addestrato a brandire un bastone di cipolla. Il suo colpo critico è molto potente.",Normale,Volante,Sguardofermo,Agonismo,0.8,15.0,Anatra,Volante,Campo,52,65,55,58,62,60,images/pokemon_83.png,Elettro,Ghiaccio,Roccia,,,,,
84,84,Doduo,I,"Può correre a oltre 60 miglia all'ora. La velocità lo rende un avversario difficile da catturare.",Normale,Volante,Fugafacile,Intricopiedi,1.4,39.2,Biuccello,Volante,,35,85,45,35,35,75,images/pokemon_84.png,Elettro,Ghiaccio,Roccia,,,,,
85,85,Dodrio,I,"Ha tre teste e possiede abilità di volo. Due teste dormono mentre la terza sta sveglia.",Normale,Volante,Fugafacile,Intricopiedi,1.8,85.2,Triuccello,Volante,,60,110,70,60,60,100,images/pokemon_85.png,Elettro,Ghiaccio,Roccia,,,,,
86,86,Seel,I,"La sua pelle è protetta da uno strato di grasso. Rende Seel molto agile nell'acqua, ma anche un po' lento sulla terraferma.",Acqua,,Grassospesso,Corpogelo,1.1,90.0,Otaria,Campo,Acqua 1,65,45,55,45,70,45,images/pokemon_86.png,Erba,Elettro,,,,,,
87,87,Dewgong,I,"Vive su montagne innevate. Ha una pelle spessa e grassa che lo protegge dal freddo e dal congelamento.",Acqua,Ghiaccio,Grassospesso,Corpogelo,1.7,120.0,Otaria,Campo,Acqua 1,90,70,80,70,95,70,images/pokemon_87.png,Erba,Elettro,Lotta,Roccia,,,,
88,88,Grimer,I,"Mangia spazzatura che trova in discariche e fognature. Puzza in modo tale da far girare la testa.",Veleno,,Tanfo,Velentocco,0.9,30.0,Melma,Amorfo,,80,80,50,40,50,25,images/pokemon_88.png,Terra,Psico,,,,,,
89,89,Muk,I,"Coperto di melma sudicia, è così tossico che persino le sue impronte sono velenose.",Veleno,,Tanfo,Velentocco,1.2,30.0,Melma,Amorfo,,105,105,75,65,100,50,images/pokemon_89.png,Terra,Psico,,,,,,
90,90,Shellder,I,"Molto territoriale, usa la sua conchiglia dura per proteggersi dagli attacchi esterni.",Acqua,,Guscioscudo,Copricapo,0.3,4.0,Muscoli,Acqua 3,,30,65,100,45,25,40,images/pokemon_90.png,Erba,Elettro,,,,,,
91,91,Cloyster,I,"Il suo guscio è molto resistente e non può essere forato. Attacca sparando ghiaccioli da dentro.",Acqua,Ghiaccio,Guscioscudo,Copricapo,1.5,132.5,Guscio,Acqua 3,,50,95,180,85,45,70,images/pokemon_91.png,Erba,Elettro,Lotta,Roccia,,,,
92,92,Gastly,I,"Rilascia un veleno molto potente quando si sente minacciato. L'odore rende gli avversari pietrificati.",Spettro,Veleno,Levitazione,Nessuna,1.3,0.1,Gas,Amorfo,,30,35,30,100,35,80,images/pokemon_92.png,Terra,Psico,Spettro,Buio,,,,
93,93,Haunter,I,"Ha una lunghezza di circa 1 metro. Si nasconde negli angoli per tendere imboscate ai viandanti.",Spettro,Veleno,Levitazione,Nessuna,1.6,0.1,Gas,Amorfo,,45,50,45,115,55,95,images/pokemon_93.png,Terra,Psico,Spettro,Buio,,,,
94,94,Gengar,I,"Appare improvvisamente in cimiteri scuri e case abbandonate, cercando le anime delle persone e dei Pokémon.",Spettro,Veleno,Levitazione,Nessuna,1.5,40.5,Ombra,Amorfo,,60,65,60,130,75,110,images/pokemon_94.png,Terra,Psico,Spettro,Buio,,,,
95,95,Onix,I,"Gli Onix vivono sottoterra, dove scavano tunnel che si estendono per più di 10 km di lunghezza.",Roccia,Terra,Vigore,Sottilguscio,8.8,210.0,Serpente,Minerale,,35,45,160,30,45,70,images/pokemon_95.png,Acqua,Erba,Terra,Acciaio,Lotta,Ghiaccio,,
96,96,Drowzee,I,"Si nutre di sogni dei bambini. Tira fuori il cucchiaio per cercare di catturare i sogni evanescenti dei bambini.",Psico,,Insonnia,Fuocodentro,1.0,32.4,Ipnotista,Umanoide,,60,48,45,43,90,42,images/pokemon_96.png,Colettero,Spettro,Buio,,,,,
97,97,Hypno,I,"La sua oscillazione crea una spinta invisibile che induce il sonno nei bambini e negli adulti.",Psico,,Insonnia,Fuocodentro,1.6,75.6,Ipnotista,Umanoide,,85,73,70,73,115,67,images/pokemon_97.png,Colettero,Spettro,Buio,,,,,
98,98,Krabby,I,"La sua grande pinza è molto potente. Scolpisci anche le dure rocce con esse per catturare prede.",Acqua,,Ipertaglio,Forzabruta,0.4,6.5,Cancro,Acqua 3,,30,105,90,25,25,50,images/pokemon_98.png,Erba,Elettro,,,,,,
99,99,Kingler,I,"Ha una pinza super potente. Una volta afferrato qualcosa, non lascerà mai andare.",Acqua,,Ipertaglio,Forzabruta,1.3,60.0,Garanzia,Acqua3,,55,130,115,50,50,75,images/pokemon_99.png,Erba,Elettro,,,,,,
100,100,Voltorb,I,"Mimic incredibilmente simile a una Poké Ball. Scoppia quando viene disturbato o lanciato.",Elettro,,Antisuono,Scoppio,0.5,10.4,Palla,Minerale,,40,30,50,55,55,100,images/pokemon_100.png,Terra,,,,,,,
101,101,Electrode,I,"Rotola sul terreno per caricare l'elettricità. Quindi esploderà senza alcun preavviso.",Elettro,,Antisuono,Scoppio,1.2,66.6,Palla,Minerale,,60,50,70,80,80,140,images/pokemon_101.png,Terra,,,,,,,
102,102,Exeggcute,I,"A causa della grande testa, il suo corpo è molto piccolo. Tuttavia, contiene sei uova che si sviluppano insieme.",Erba,Psico,Clorofilla,Coglibacche,0.4,2.5,,Erba,,60,40,80,60,45,40,images/pokemon_102.png,Fuoco,Ghiaccio,Veleno,Volante,Coleottero,Spettro,Buio
103,103,Exeggutor,I,"Il suo corpo può produrre frutta gustosa, anche se non viene nutrita correttamente. Mangia solo la frutta dell'Alola.",Erba,Psico,Clorofilla,Coglibacche,2.0,120.0,Palma,Erba,,95,95,85,125,75,55,images/pokemon_103.png,Fuoco,Ghiaccio,Veleno,Volante,Coleottero,Spettro,Buio
104,104,Cubone,I,"Indossa un teschio di sua madre sulla testa. La tragedia di Cubone non è mai finita.",Terra,,Testadura,Lottascudo,0.4,6.5,Orfanello,Mostro,,50,50,95,40,50,35,images/pokemon_104.png,Acqua,Erba,Ghiaccio,,,,,
105,105,Marowak,I,"Si dice che abbia perso la sua madre a un giovane e che ora porti il suo cranio in giro.",Terra,,Testadura,Lottascudo,1.0,45.0,Orfanello,Mostro,,60,80,110,50,80,45,images/pokemon_105.png,Acqua,Erba,Ghiaccio,,,,,
106,106,Hitmonlee,I,"Ha la capacità di spaccare un nocciolo con un colpo di piede rotante ad alta velocità.",Lotta,,Scioltezza,Agiltecnica,1.5,49.8,Piedelong,Umanoide,,50,120,53,35,110,87,images/pokemon_106.png,Volante,Psico,Folletto,,,,,
107,107,Hitmonchan,I,"Muove i pugni a velocità incredibile, lanciando pugni veloci in meno di 0,1 secondi.",Lotta,,Sguardofermo,Fuocodentro,1.4,50.2,Pugnabasso,Umanoide,,50,105,79,35,110,76,images/pokemon_107.png,Volante,Psico,Folletto,,,,,
108,108,Lickitung,I,"Può manipolare la sua lingua lunga quasi quanto vuole. La sua saliva contiene sostanze chimiche che inducono il sonno.",Normale,,Mente Locale,Antimeteo,1.2,65.5,Lingua,Mostro,,90,55,75,60,75,30,images/pokemon_108.png,Lotta,,,,,,,
109,109,Koffing,I,"Rilascia gas velenosi che possono fare girare la testa se respirati in eccesso. Agisce come un trivellatore gassoso.",Veleno,,Levitazione,Tanfo,0.6,1.0,Palla,Amorfo,,40,65,95,60,45,35,images/pokemon_109.png,Terra,Psico,,,,,,
110,110,Weezing,I,"Rilascia gas velenosi da tutti i pori. I gas avvelenati si mescolano con l'aria, diventando impossibili da separare.",Veleno,,Levitazione,Tanfo,1.2,9.5,Palla,Amorfo,,65,90,120,85,70,60,images/pokemon_110.png,Terra,Psico,,,,,,
111,111,Rhyhorn,I,"Quando inizia a correre non si ferma neanche se va a sbattere contro un macigno. Per questo il suo habitat ha continuato a ingrandirsi.",Terra,Roccia,Parafulmine,Temerarietà,1.0,115.0,Spinale,Mostro,Campo,80,85,95,30,30,25,images/pokemon_111.png,Acqua,Erba,Ghiaccio,Lotta,Terra,Acciaio,,
112,112,Rhydon,I,"Va testa in testa con un altro Rhydon per capire chi è il più forte. Il vincitore diventa il leader del gruppo.",Terra,Roccia,Parafulmine,Temerarietà,1.9,120.0,Talpa,Mostro,Campo,105,130,120,45,45,40,images/pokemon_112.png,Acqua,Erba,Ghiaccio,Lotta,Terra,Acciaio,,
113,113,Chansey,I,"Un cucciolo soffice e tenero che porta sempre un uovo. Cresce lentamente.",Normale,,Alternacura,Curacuore,1.1,34.6,Uovo,Magico,,250,5,5,35,105,50,images/pokemon_113.png,Lotta,,,,,,,
114,114,Tangela,I,"La lunghezza delle sue viti è proporzionale alla sua età. Si dice che abbia vissuto per 1.000 anni.",Erba,,Clorofilla,Rigenergia,1.0,35.0,Vite,Erba,,65,55,115,100,40,60,images/pokemon_114.png,Fuoco,Veleno,Ghiaccio,Volante,Coleottero,,,
115,115,Kangaskhan,I,"Il giovane dietro di lei è così indipendente che potrebbe vivere da solo da subito.",Normale,,Sveglialampo,Fuocodentro,2.2,80.0,Materno,Mostro,,105,95,80,40,80,90,images/pokemon_115.png,Lotta,,,,,,,
116,116,Horsea,I,"Può sparare acqua attraverso i suoi tubi di aspirazione. Se si sente minacciato, lancerà veleno.",Acqua,,Nuotovelox,Umidità,0.4,8.0,Draghetto,Acqua 1,Drago,30,40,70,70,25,60,images/pokemon_116.png,Erba,Elettro,,,,,,
117,117,Seadra,I,"Quando si sente minacciato, scatena il veleno dal muso. È difficile trovare queste creature in libertà.",Acqua,,Velenopunto,Umidità,1.2,25.0,Draghetto,Acqua 1,Drago,55,65,95,95,45,85,images/pokemon_117.png,Erba,Elettro,,,,,,
118,118,Goldeen,I,"Un Pokémon bello e grazioso, ma anche molto orgoglioso. È affascinato dai colori vivaci e dalle cose luminose.",Acqua,,Nuotovelox,Parafulmine,0.6,15.0,Pesce,Acqua 2,,45,67,60,35,50,63,images/pokemon_118.png,Erba,Elettro,,,,,,
119,119,Seaking,I,"Quando si sente minacciato, nuota in cerchi e rilascia un liquido tossico dal corno.",Acqua,,Nuotovelox,Parafulmine,1.3,39.0,Pesce,Acqua 2,,80,92,65,65,80,68,images/pokemon_119.png,Erba,Elettro,,,,,,
120,120,Staryu,I,"Può sparare raggio laser dall'estremità centrale della sua forma a stella. Questi raggi laser possono sparare attraverso il ferro.",Acqua,,Risplendi,Ponderazione,0.8,34.5,Stella,Acqua 3,,30,45,55,70,55,85,images/pokemon_120.png,Erba,Elettro,,,,,,
121,121,Starmie,I,"Ha abilità di volare nello spazio. La sua forma di stella è così bella da essere considerata una gemma celeste.",Acqua,Psico,Risplendi,Ponderazione,1.1,80.0,Misteriosa,Acqua 3,,60,75,85,100,85,115,images/pokemon_121.png,Erba,Elettro,Coleottero,Spettro,Buio,,,
122,122,Mr. Mime,I,"È un esperto di mimica che, con i gesti, riesce a innalzare pareti che diventano reali.",Psico,Folletto,Antisuono,Tecnico,1.3,54.5,Barriera,Umanoide,,40,45,65,100,120,90,images/pokemon_122.png,Veleno,Spettro,Acciaio,,,,,
123,123,Scyther,I,"È in grado di tagliare il ferro con le lame delle sue zampe. È anche in grado di volare per brevi distanze.",Coleottero,Volante,Aiutinsetto,Cuordeciso,1.5,56.0,Mantide,Coleottero,,70,110,80,55,80,105,images/pokemon_123.png,Fuoco,Elettro,Ghiaccio,Volante,Roccia,,,
124,124,Jynx,I,"Balla con movimenti eleganti. Spesso imita le persone.",Ghiaccio,Psico,Indifferenza,Pellearsa,1.4,40.6,Bacio,Umanoide,,65,50,35,115,95,95,images/pokemon_124.png,Fuoco,Coleottero,Roccia,Spettro,Buio,Acciaio,,
125,125,Electabuzz,I,"Raccoglie l'elettricità in tasche speciali nelle guance. Può lanciare fulmini da 100.000 volt.",Elettro,,Statico,Spiritovivo,1.1,30.0,Elettrico,Umanoide,,65,83,57,95,85,105,images/pokemon_125.png,Terra,,,,,,,
126,126,Magmar,I,"Il suo corpo interno è in grado di produrre calore, che trasforma in fiamme. Le sue braccia incandescenti possono trasformare l'aria in cenere.",Fuoco,,Corpodifuoco,Spiritovivo,1.3,44.5,Sputafuoco,Umanoide,,65,95,57,100,85,93,images/pokemon_126.png,Acqua,Terra,Roccia,,,,,
127,127,Pinsir,I,"Le sue mandibole sono così potenti da poter spezzare il tronco di un albero con un solo morso.",Coleottero,,Ipertaglio,Arroganza,1.5,55.0,Insetto,Coleottero,,65,125,100,55,70,85,images/pokemon_127.png,Fuoco,Volante,Roccia,,,,,
128,128,Tauros,I,"Uno dei pokémon più determinati. Una volta che inizia a correre, non si fermerà finché non si è stancato.",Normale,,Prepotenza,Forzabruta,1.4,88.4,WildBull,Campo,,75,100,95,40,70,110,images/pokemon_128.png,Lotta,,,,,,,
129,129,Magikarp,I,"È completamente indifeso contro gli attacchi. È comunemente trovato in fiumi e stagni.",Acqua,,Nuotovelox,Paura,0.9,10.0,Pesce,Acqua 2,Drago,20,10,55,15,20,80,images/pokemon_129.png,Erba,Elettro,,,,,,
130,130,Gyarados,I,"Quando esce allo scoperto in preda alla furia, non si placa finché non ha raso al suolo ogni cosa.",Acqua,Volante,Prepotenza,Arroganza,6.5,235.0,Atrocità,Acqua 2,Drago,95,125,79,60,100,81,images/pokemon_130.png,Elettro,Roccia,,,,,,
131,131,Lapras,I,"Un amico di Pokémon che trasporta i bambini sull'ampio dorso mentre nuota nell'oceano.",Acqua,Ghiaccio,Assorbacqua,Idratazione,2.5,220.0,Trasporto,Mostro,Acqua 1,130,85,80,85,95,60,images/pokemon_131.png,Erba,Elettro,Lotta,Roccia,,,,
132,132,Ditto,I,"È in grado di trasformarsi in qualsiasi cosa. Se si riproduce con un Pokémon, l'uovo che si schiude sarà sempre un Ditto.",Normale,,Scioltezza,Sosia,0.3,4.0,Trasformazione,Ditto,,48,48,48,48,48,48,images/pokemon_132.png,Lotta,,,,,,,
133,133,Eevee,I,"Si adatta a qualsiasi ambiente, trasformando la sua coda lunga e pelosa in una varietà di forme per adattarsi al clima.",Normale,,Fugafacile,Presagio,0.3,6.5,Evoluzione,Campo,,55,55,50,45,65,55,images/pokemon_133.png,Lotta,,,,,,,
134,134,Vaporeon,I,"Le sue cellule sono composte per resistere a tutte le tossine. Rende l'acqua incontaminata.",Acqua,,Assorbacqua,Idratazione,1.0,29.0,Bolla,Campo,,130,65,60,110,95,65,images/pokemon_134.png,Erba,Elettro,,,,,,
135,135,Jolteon,I,"Ha ricevuto abilità elettriche durante l'evoluzione. È molto veloce nella carica.",Elettro,,Assorbivolt,Piedisvelti,0.8,24.5,Luminoso,Campo,,65,65,60,110,95,130,images/pokemon_135.png,Terra,,,,,,,
136,136,Flareon,I,"Ha una temperatura corporea estremamente alta. Una volta acceso, la sua fiamma non si spegnerà mai.",Fuoco,,Fuocardore,Dentistretti,0.9,25.0,Fiamma,Campo,,65,130,60,95,110,65,images/pokemon_136.png,Acqua,Terra,Roccia,,,,,
137,137,Porygon,I,"Un Pokémon creato dall’uomo con metodi scientifici avanzatissimi. Si muove liberamente nel ciberspazio.",Normale,,Traccia,Ponderazione,0.8,36.5,Virtuale,Minerale,,65,60,70,85,75,40,images/pokemon_137.png,Lotta,,,,,,,
138,138,Omanyte,I,"Si dice che viva 10.000 anni. I suoi gusci sembrano sculture del periodo preistorico.",Roccia,Acqua,Nuotovelox,Sottilguscio,0.4,7.5,Guscio,Acqua 1,Acqua 3,35,40,100,90,55,35,images/pokemon_138.png,Erba,Elettro,Lotta,Terra,,,,
139,139,Omastar,I,"Usa i suoi tentacoli per catturare le prede. È particolarmente bravo a catturare ostriche e altri molluschi.",Roccia,Acqua,Nuotovelox,Sottilguscio,1.0,35.0,Spira,Acqua 1,Acqua 3,70,60,125,115,70,55,images/pokemon_139.png,Erba,Elettro,Lotta,Terra,,,,
140,140,Kabuto,I,"Un Pokémon ancestrale che è stato rianimato da fossili. Usa le sue zampe per aggredire il nemico.",Roccia,Acqua,Nuotovelox,Sottilguscio,0.5,11.5,Corazza,Acqua 1,Acqua 3,30,80,90,55,45,55,images/pokemon_140.png,Erba,Elettro,Lotta,Terra,,,,
141,141,Kabutops,I,"Un predatore feroce del passato. Usa le sue lunghe zampe per afferrare e disabilitare la preda.",Roccia,Acqua,Nuotovelox,Sottilguscio,1.3,40.5,Lama,Acqua 1,Acqua 3,60,115,105,65,70,80,images/pokemon_141.png,Erba,Elettro,Lotta,Terra,,,,
142,142,Aerodactyl,I,"Un Pokémon primitivo che vola con ali membranose. Sembra simile a un pterosauro.",Roccia,Volante,Testadura,Agitazione,1.8,59.0,Fossile,Volante,,80,105,65,60,75,130,images/pokemon_142.png,Acqua,Elettro,Ghiaccio,Roccia,Acciaio,,,
143,143,Snorlax,I,"È estremamente pigro. Cresce solo se mangia e dorme. Si dice che le persone lo facciano letteralmente cadere a pezzi per farlo muovere.",Normale,,Immunità,Voracità,2.1,460.0,Pigro,Mostro,,160,110,65,65,110,30,images/pokemon_143.png,Lotta,,,,,,,
144,144,Articuno,I,"Un Pokémon leggendario con un'aura di grazia. Ha il potere di congelare l'umidità nell'aria intorno a lui.",Ghiaccio,Volante,Pressione,Nessuna,1.7,55.4,Ghiaccio,Sconosciuto,,90,85,100,95,125,85,images/pokemon_144.png,Fuoco,Elettro,Roccia,Acciaio,,,,
145,145,Zapdos,I,"È un Pokémon leggendario che governa fulmini e temporali. Si dice che abbia causato temporali mentre vola.",Elettro,Volante,Pressione,Nessuna,1.6,52.6,Elettricità,Sconosciuto,,90,90,85,125,90,100,images/pokemon_145.png,Ghiaccio,Roccia,,,,,,
146,146,Moltres,I,"Un Pokémon leggendario con un'intensa fiamma. In grado di bruciare anche l'aria.",Fuoco,Volante,Pressione,Nessuna,2.0,60.0,Fiamma,Sconosciuto,,90,100,90,125,85,90,images/pokemon_146.png,Acqua,Elettro,Roccia,,,,,
147,147,Dratini,I,"Vive nei corsi d'acqua dove è calmo. Deve trasformarsi in uno spettacolare Drago perché è timido.",Drago,,Muta,Pelledura,1.8,3.3,Draghetto,Drago,Acqua 1,41,64,45,50,50,50,images/pokemon_147.png,Ghiaccio,Drago,Folletto,,,,,
148,148,Dragonair,I,"Un lungo e sinuoso Drago Pokémon. Viaggia attraverso le onde dell'aria su ali magiche.",Drago,,Muta,Pelledura,4.0,16.5,Drago,Drago,Acqua 1,61,84,65,70,70,70,images/pokemon_148.png,Ghiaccio,Drago,Folletto,,,,,
149,149,Dragonite,I,"Un Pokémon da leggenda. È considerato un drago benevolo che aiuta chi è in difficoltà in mare.",Drago,Volante,Fuocodentro,Multisquame,2.2,210.0,Drago,Drago,Acqua 1,91,134,95,100,100,80,images/pokemon_149.png,Ghiaccio,Roccia,Drago,Folletto,,,,
150,150,Mewtwo,I,"È stato creato utilizzando il DNA di Mew. È un Pokémon pensante e autonomo.",Psico,,Pressione,Nessuna,2.0,122.0,Genetico,Sconosciuto,,106,110,90,154,90,130,images/pokemon_150.png,Coleottero,Spettro,Buio,,,,,
151,151,Mew,I,"Viaggia attraverso le onde dell'aria su ali magiche.",Psico,,Sincronismo,Nessuna,0.4,4.0,Novaspecie,Sconosciuto,,100,100,100,100,100,100,images/pokemon_151.png,Coleottero,Spettro,Buio,,,,,
